Id	norm.dF4Ur1	norm.dF4Ur2	norm.dF4Ur3	norm.dF4Mr1	norm.dF4Mr2	norm.dF4Mr3	norm.dF4M40r1	norm.dF4M40r2	norm.dF4M40r3
1110004E09Rik	62	26	44	103	55	83	117	111	97
1110038B12Rik	297	166	198	493	444	416	791	898	633
1110059E24Rik	279	419	232	119	185	112	90	161	112
1190007I07Rik	94	55	44	62	103	60	100	141	109
1500004A13Rik	11	23	9	4	6	4	0	10	1
1500011K16Rik	59	18	22	60	35	25	70	86	38
1600014C10Rik	485	283	521	146	144	206	104	96	141
1700008J07Rik	116	55	73	83	80	79	130	136	119
1700012D16Rik	40	24	38	22	6	6	7	0	10
1700015C17Rik	18	21	21	11	10	7	3	5	3
1700028N14Rik	33	38	45	15	29	21	8	25	9
1700029H14Rik	19	12	12	2	1	3	1	20	0
1700034H15Rik	25	16	8	14	14	17	22	25	13
1700041G16Rik	8	10	12	1	1	6	0	5	0
1700065D16Rik	2	5	1	4	1	6	10	15	18
1810032O08Rik	141	136	67	263	301	164	384	651	211
1810034E14Rik	33	14	22	4	9	3	2	10	1
1810058I24Rik	540	179	190	368	244	352	450	177	359
2010109I03Rik	39	19	18	12	12	14	13	0	17
2010309G21Rik	43	37	74	13	30	28	15	20	35
2310001H17Rik	124	132	185	62	82	100	49	50	95
2310001K20Rik	1	3	11	1	1	3	0	0	0
2410002F23Rik	741	624	507	1060	990	865	1330	1180	1119
2510016D11Rik	29	22	33	14	6	6	8	0	1
2610318N02Rik	19	15	5	35	46	32	42	76	31
2700038G22Rik	77	92	131	234	199	320	289	227	496
2700046G09Rik	8	4	7	11	6	11	9	10	9
2810013P06Rik	257	144	119	110	90	73	74	177	64
2810025M15Rik	97	40	41	76	71	27	94	116	42
2810429I04Rik	71	67	96	34	27	32	16	35	9
2810455O05Rik	11	19	30	13	14	17	11	0	14
2900026A02Rik	49	25	42	107	102	135	30	45	72
2900089D17Rik	9	14	12	45	42	42	32	45	24
3110082I17Rik	112	49	54	250	135	126	349	303	235
4632428C04Rik	29	27	21	6	8	1	3	5	8
4833407H14Rik	74	27	44	17	10	17	11	5	13
4833413G10Rik	48	38	41	28	20	35	22	25	27
4833422M21Rik	44	88	66	24	25	24	6	15	17
4930426D05Rik	418	180	243	57	56	45	24	10	12
4930432B10Rik	3	5	5	8	3	13	9	0	12
4930523C07Rik	2066	2388	2799	1115	1309	1219	1081	661	1116
4930570N18Rik	17	14	16	9	13	11	5	0	5
4930594M22Rik	6	17	24	19	28	20	26	25	43
4930597L12Rik	73	46	78	36	13	22	11	5	12
4933406I18Rik	86	31	59	18	15	22	9	0	8
4933421A08Rik	6	0	5	20	6	14	28	30	33
5033430I15Rik	4	2	8	7	2	4	15	10	10
5430416N02Rik	109	175	140	216	272	206	259	338	311
5830416I19Rik	6	22	21	2	6	10	4	5	3
5830432E09Rik	40	57	59	23	34	24	13	15	9
9430020K01Rik	15	23	33	28	34	56	31	45	63
9930014A18Rik	32	12	9	27	29	10	51	35	27
9930111J21Rik1	240	586	388	67	159	152	43	55	42
9930111J21Rik2	252	1049	1157	75	291	352	38	419	143
A130048G24Rik	164	302	350	100	107	101	39	50	29
A230005M16Rik	12	3	3	14	8	10	20	0	9
A230050P20Rik	350	211	313	452	340	448	590	323	524
A330009N23Rik	6	4	7	19	9	15	35	15	24
A430035B10Rik	110	84	136	26	34	35	14	10	27
A430046D13Rik	24	26	30	8	13	8	8	0	5
A430057M04Rik	61	28	28	74	42	39	90	40	54
A430072P03Rik	1	0	3	18	11	28	18	5	8
A430078G23Rik	1797	1924	1104	175	335	204	45	96	24
A430093F15Rik	22	24	44	318	214	277	252	131	243
A530032D15Rik	50	83	59	113	182	104	84	172	82
A530083M17Rik	191	122	246	82	45	73	33	0	31
A630023P12Rik	3	4	9	0	2	1	0	10	0
A630033H20Rik	92	250	250	78	135	164	29	45	89
A930006K02Rik	29	17	21	5	10	7	5	25	6
AA467197	9	4	18	16	15	14	62	91	132
Aaas	472	294	298	460	391	362	560	429	488
Aaed1	385	274	275	144	156	177	130	91	96
Aars	1278	865	902	1873	1498	1553	2138	1670	1857
AB124611	1187	501	416	131	139	135	80	20	36
Abca1	7671	5030	6225	3893	3228	2178	2478	1084	754
Abca3	927	711	709	431	424	397	433	288	285
Abca6	11	49	25	3	4	1	0	15	1
Abcb1b	67	139	145	412	488	381	608	515	703
Abcc1	687	917	772	1368	1283	1069	1849	2759	1583
Abcd1	999	625	558	213	260	152	137	177	82
Abcf2	665	400	371	833	629	604	1026	827	809
Abcg1	227	104	169	23	22	39	32	20	50
Abcg3	37	63	50	10	12	15	9	15	5
Abhd14a	55	32	18	71	42	45	88	50	35
Abhd15	87	40	15	12	6	6	4	10	6
Abhd17b	583	826	502	314	388	333	258	338	259
Abhd18	67	112	103	34	47	45	24	66	40
Abi3	1722	594	838	255	133	183	127	45	50
Ablim1	4498	5328	5579	2681	3142	3041	1759	1796	1171
AC061963.1	33	17	16	3	2	3	2	20	3
AC117232.5	1	2	4	9	7	11	10	0	9
AC122379.2	8	14	11	6	4	11	3	0	4
AC123705.1	31	51	81	17	13	25	11	0	15
AC123705.2	20	59	94	17	15	25	8	0	19
AC123705.3	22	36	51	8	9	20	6	5	3
AC124413.3	17	11	5	1	2	3	1	0	0
AC125206.3	13	17	29	6	7	8	2	0	3
AC125351.1	264	258	250	85	80	60	63	35	28
AC127581.1	26	24	24	2	10	8	4	10	6
AC140264.2	38	38	44	21	27	8	10	5	0
AC151730.1	34	143	1601	16	31	741	5	25	340
AC151971.1	6	16	13	4	2	1	2	10	4
AC151971.10	36	51	86	30	32	41	29	25	37
AC153536.3	23	26	71	29	26	35	9	0	6
AC159308.6	7	7	16	3	6	4	2	15	9
AC160051.2	9	36	29	22	36	24	11	10	9
AC163637.2	6	1	0	4	2	4	6	0	3
Acacb	5	6	4	11	6	6	18	55	10
Acap1	3988	2261	1898	1717	1410	1293	1096	651	640
Accs	212	191	164	90	111	72	91	121	56
Ache	9	9	45	9	6	42	10	15	40
Acot11	43	22	24	14	6	17	11	15	8
Acot7	77	39	40	200	105	119	285	212	152
Acp5	1117	502	246	41	76	46	27	35	18
Acpp	9	18	15	8	6	6	13	20	15
Acsf2	554	365	276	134	142	83	82	61	51
Acss1	1115	806	675	188	189	178	60	35	51
Actn1	307	209	335	1942	1579	1272	1440	787	874
Acy1	279	101	65	250	181	114	338	232	179
Adam19	2342	2427	2617	1106	1134	886	876	605	745
Adam6b	9	20	16	9	6	7	5	0	5
Adamts13	2	3	1	12	13	15	42	91	29
Adamts6	122	310	453	292	468	510	76	76	96
Adamts7	31	5	36	58	29	107	93	81	394
Adap1	106	78	55	139	103	60	480	535	314
Adarb1	90	70	71	357	346	258	233	141	165
Adcy7	4012	3223	2551	2086	1975	1438	971	525	406
Add1	2952	2425	2194	1480	1477	1265	854	555	663
Add3	2055	1952	1929	750	803	657	439	383	406
Adgre1	55	63	110	44	54	63	37	61	24
Adgre5	1717	1131	1271	1104	1053	1281	814	358	753
Adgrg1	109	56	184	303	138	392	338	106	457
Adgrl2	230	184	223	205	176	268	343	378	470
Adk	78	104	95	173	158	118	249	197	169
Adm	55	18	51	184	110	230	598	166	516
Ado	490	300	275	672	520	421	684	595	457
Adora2a	200	129	94	210	214	131	417	580	289
Adsl	622	400	326	829	647	594	989	1064	734
Aen	335	388	238	684	811	490	918	928	654
Aff3	2733	1902	2474	1231	983	1135	1131	545	970
Aff4	1962	2639	2862	1893	2044	2418	1630	1160	1991
Agbl1	5	7	12	0	1	0	0	40	0
Ago4	284	337	244	132	166	176	66	50	72
Agpat1	1085	388	391	735	515	510	1123	459	652
Agpat5	93	177	164	209	262	229	265	262	353
Agrn	203	297	227	415	493	300	657	1458	360
Ahr	159	90	296	2389	1529	2454	3103	1629	3250
Ahsa1	572	366	466	634	565	597	859	575	668
AI427809	14	3	5	2	3	0	1	0	5
AI467606	1003	377	294	138	168	93	99	76	37
AI506816	489	637	467	1256	1507	1098	1653	1382	1651
Aim1	422	474	770	162	183	410	109	81	243
Aimp2	193	121	104	297	207	212	360	156	299
Airn	2	5	8	22	27	51	44	35	107
Ak6	67	42	67	105	87	83	142	91	190
Akap1	17	42	37	103	133	105	163	222	183
Akap13	5504	5893	6223	2982	2913	3015	3088	2169	3352
Akr1b10	174	183	176	78	89	73	47	30	36
AL591582.1	53	58	59	23	31	15	22	35	29
Alcam	626	792	617	1461	1346	1448	1018	832	1145
Aldh18a1	565	445	380	924	731	778	1052	590	851
Aldoc	203	41	55	29	21	18	16	50	10
Alg3	119	90	110	221	189	219	323	252	349
Alg8	124	125	125	258	243	261	326	267	354
Alg9	259	222	162	367	396	359	541	504	564
Aloxe3	2	0	0	13	6	10	5	25	3
Alpl	204	69	243	309	155	226	439	172	359
Amer1	165	326	256	126	176	171	82	55	118
Amigo2	238	162	310	376	213	549	572	494	746
Ampd2	414	305	219	574	469	323	705	696	383
Ampd3	264	199	289	78	89	153	68	66	121
Amz1	110	37	44	192	51	77	211	91	55
Amz2	194	146	181	91	113	67	99	55	87
Angptl4	4	6	1	12	17	7	16	25	3
Ank	355	165	230	625	424	553	556	303	397
Ankrd13b	22	13	20	95	67	67	96	106	97
Ankrd13d	278	177	177	44	65	52	38	55	22
Ankrd33b	523	542	551	909	921	913	1679	2426	1974
Ankrd44	1750	2348	2474	570	746	722	252	277	198
Ankrd55	16	4	7	2	2	7	0	10	0
Ano6	839	821	853	386	435	375	306	282	261
Anp32b	537	708	749	1336	1335	1651	1624	1639	2340
Anp32b-ps1	93	40	25	184	87	98	223	177	156
Antxr2	173	124	151	105	77	124	86	81	119
Anxa1	111	203	169	62	157	136	63	55	115
Anxa6	1130	624	585	224	164	184	176	136	79
Aoc2	107	139	116	284	309	226	330	323	238
Ap1m2	20	8	5	5	4	4	7	10	0
Ap3m2	229	166	244	97	92	110	61	86	56
Apbb2	110	65	81	38	40	44	18	25	9
Apex1	568	306	289	816	702	695	1265	989	1102
Appl2	195	198	169	121	128	83	99	66	75
Aprt	616	208	121	594	415	233	797	736	313
Arhgap15	584	1181	1096	217	344	338	116	121	138
Arhgap18	62	99	114	28	26	67	15	30	19
Arhgap24	480	455	865	1475	893	1689	1916	1170	2356
Arhgap25	1303	917	1030	630	466	646	407	303	441
Arhgap26	1195	1249	1250	737	507	649	463	454	376
Arhgap27os3	523	393	687	205	164	254	120	126	151
Arhgap31	473	456	450	252	303	249	164	101	197
Arhgap33	123	67	79	22	28	34	19	55	29
Arhgap4	3141	2025	1930	769	777	609	509	348	244
Arhgap45	18548	6948	6679	3391	2690	2231	2383	1821	1302
Arhgap6	93	41	92	27	21	18	17	20	12
Arhgdib	5927	2243	2819	852	868	1043	648	368	689
Arhgef1	13001	5934	5220	3370	2636	2129	2700	2154	1217
Arhgef10	41	19	13	5	2	1	2	30	1
Arhgef11	756	719	780	472	479	434	461	388	397
Arhgef18	3617	2933	1885	421	636	350	265	232	147
Arhgef3	2075	1565	1609	851	1014	750	712	565	590
Arid3b	1422	1175	1138	636	541	423	546	272	349
Arntl	323	395	449	215	234	253	157	166	167
Arrb1	777	644	586	247	245	260	104	146	132
Art4	13	2	17	2	2	7	0	0	12
Asah2	41	96	119	29	46	81	29	35	45
Ascl4	32	4	22	2	1	1	1	0	1
Asna1	553	218	273	578	428	525	726	252	526
Asns	33	21	69	57	88	121	90	66	174
Asph	23	26	58	63	56	90	25	55	56
Atad3a	478	458	230	1046	1079	549	1374	1342	769
Atf4	2173	1009	1175	2217	1800	2171	2817	1740	2862
Atic	591	688	463	1149	1081	819	1506	1150	1238
Atp10d	667	789	657	333	399	272	286	298	285
Atp1a1	3052	2088	1753	6087	4452	3878	6061	3248	3780
Atp2a3	5151	4109	2421	1619	1782	833	879	787	308
Atp4a	1	2	1	19	4	17	38	40	31
Atp5b	4466	2645	2118	5505	4600	3713	7217	5417	4640
Atp5k	111	30	70	75	56	74	82	96	87
Atp6v1f	593	237	177	308	365	256	490	308	285
Atp7b	9	8	17	19	11	39	19	35	26
Atp8a1	768	1270	1425	486	644	664	362	348	396
Atxn1	161	104	228	312	209	352	556	383	831
Atxn7l1	364	360	545	198	195	257	118	71	127
Auh	280	350	316	217	218	156	199	182	141
Aven	112	90	66	227	162	145	307	257	204
Avil	24	34	21	4	11	1	3	40	4
Axl	102	37	145	880	417	920	1466	1352	2103
B230377A18Rik	0	0	0	5	2	4	4	0	4
B3galt6	127	69	51	136	143	70	224	641	139
B3gnt5	1215	2269	1945	1214	1738	1243	853	615	630
B3gnt8	1190	357	261	45	43	15	15	10	5
B430306N03Rik	52	75	102	27	53	65	22	40	52
B4galt1	1197	937	1120	1874	1554	1952	2472	1770	2816
B930036N10Rik	28	51	33	85	109	60	110	81	111
Bag1	544	232	263	650	410	437	801	600	539
Bag2	28	19	34	49	42	62	60	45	55
Bank1	4106	5357	5229	1006	1056	767	605	232	247
Basp1	213	51	131	374	134	324	1232	989	1385
Batf	193	51	77	174	87	111	309	126	216
Bax	863	301	209	705	573	386	1011	1559	420
Baz2a	2589	2316	2697	1652	1472	1758	1522	1352	1640
Baz2b	1458	1869	2504	1091	1052	1501	872	615	1180
