#peakID	chr	start	end	strand	PC1
chr20-50000	chr20	50000	100000	+	-0.0630449296513901
chr20-100000	chr20	100000	150000	+	0.0881872556881607
chr20-150000	chr20	150000	200000	+	0.228477478879652
chr20-200000	chr20	200000	250000	+	0.255499912036644
chr20-250000	chr20	250000	300000	+	0.462515506382823
chr20-300000	chr20	300000	350000	+	0.936819529524893
chr20-350000	chr20	350000	400000	+	1.186690099112
chr20-400000	chr20	400000	450000	+	0.881475677890172
chr20-450000	chr20	450000	500000	+	0.878966361095092
chr20-500000	chr20	500000	550000	+	1.02023895556293
chr20-550000	chr20	550000	600000	+	0.765132729214322
chr20-600000	chr20	600000	650000	+	0.864281919716572
chr20-650000	chr20	650000	700000	+	0.58880878959151
chr20-700000	chr20	700000	750000	+	0.65706839240517
chr20-750000	chr20	750000	800000	+	0.662042654580874
chr20-800000	chr20	800000	850000	+	0.583655639098146
chr20-850000	chr20	850000	900000	+	0.678089807461979
chr20-900000	chr20	900000	950000	+	0.628138254140654
chr20-950000	chr20	950000	1000000	+	0.552847537254614
chr20-1000000	chr20	1000000	1050000	+	0.279791185915226
chr20-1050000	chr20	1050000	1100000	+	0.576853024383104
chr20-1100000	chr20	1100000	1150000	+	0.963371453317395
chr20-1150000	chr20	1150000	1200000	+	1.1478590398486
chr20-1200000	chr20	1200000	1250000	+	0.982954389805547
chr20-1250000	chr20	1250000	1300000	+	0.931240260058468
chr20-1300000	chr20	1300000	1350000	+	1.07756716781944
chr20-1350000	chr20	1350000	1400000	+	1.23854801053439
chr20-1400000	chr20	1400000	1450000	+	1.21290640041122
chr20-1450000	chr20	1450000	1500000	+	0.984408484002918
chr20-1500000	chr20	1500000	1550000	+	1.01228842473365
chr20-1550000	chr20	1550000	1600000	+	1.05160549732438
chr20-1600000	chr20	1600000	1650000	+	0.931990937353817
chr20-1650000	chr20	1650000	1700000	+	1.01680774922683
chr20-1700000	chr20	1700000	1750000	+	0.943893609535926
chr20-1750000	chr20	1750000	1800000	+	1.2060960906117
chr20-1800000	chr20	1800000	1850000	+	1.36514578434539
chr20-1850000	chr20	1850000	1900000	+	1.22415596004509
chr20-1900000	chr20	1900000	1950000	+	1.05231171953787
chr20-1950000	chr20	1950000	2000000	+	0.855877499514733
chr20-2000000	chr20	2000000	2050000	+	0.804379183883362
chr20-2050000	chr20	2050000	2100000	+	1.03122436924883
chr20-2100000	chr20	2100000	2150000	+	1.03324796245596
chr20-2150000	chr20	2150000	2200000	+	0.853335780313844
chr20-2200000	chr20	2200000	2250000	+	0.89546745790089
chr20-2250000	chr20	2250000	2300000	+	0.802820216247674
chr20-2300000	chr20	2300000	2350000	+	0.797609056542229
chr20-2350000	chr20	2350000	2400000	+	0.801747483257897
chr20-2400000	chr20	2400000	2450000	+	0.741392765403549
chr20-2450000	chr20	2450000	2500000	+	0.866468332800682
chr20-2500000	chr20	2500000	2550000	+	0.822339465434067
chr20-2550000	chr20	2550000	2600000	+	0.98809858682449
chr20-2600000	chr20	2600000	2650000	+	1.09665800886959
chr20-2650000	chr20	2650000	2700000	+	1.04845362537726
chr20-2700000	chr20	2700000	2750000	+	0.958039743956032
chr20-2750000	chr20	2750000	2800000	+	0.949590489432447
chr20-2800000	chr20	2800000	2850000	+	1.0273512974055
chr20-2850000	chr20	2850000	2900000	+	1.15105874057491
chr20-2900000	chr20	2900000	2950000	+	1.16453297644457
chr20-2950000	chr20	2950000	3000000	+	1.11312575563178
chr20-3000000	chr20	3000000	3050000	+	1.21378562106418
chr20-3050000	chr20	3050000	3100000	+	1.13898568299178
chr20-3100000	chr20	3100000	3150000	+	1.07177904532298
chr20-3150000	chr20	3150000	3200000	+	1.06684973921605
